id,name,created_at,updated_at
160,Crowley's Ridge College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
161,Crowley's Ridge Technical Institute,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
162,East Arkansas Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
163,Eastern College of Health Vocations-Little Rock,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
164,Imagine-Paul Mitchell Partner School,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
165,National Park Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
166,University of Arkansas Community College-Batesville,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
167,Harding University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
168,Henderson State University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
169,Hendrix College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
170,Hot Springs Beauty College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
171,Jefferson Regional Medical Center School of Nursing,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
172,John Brown University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
173,Lees School of Cosmetology,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
174,Career Academy of Hair Design,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
175,Marsha Kay Beauty College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
176,Academy of Salon and Spa,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
177,Mid-South Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
178,Arkansas Northeastern College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
179,Margaret's Hair Academy Inc,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
180,New Tyler Barber College Inc,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
181,North Arkansas College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
182,Northwest Technical Institute,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
183,Ouachita Baptist University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
184,College of the Ouachitas,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
185,Ozarka College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
186,University of the Ozarks,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
187,University of Arkansas Community College-Morrilton,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
188,Philander Smith College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
189,Phillips Community College of the University of Arkansas,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
190,Southeast Arkansas College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
191,Professional Cosmetology Education Center,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
192,Pulaski Technical College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
193,University of Arkansas Community College-Hope,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
194,Rich Mountain Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
195,Paul Mitchell the School-Arkansas,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
196,Searcy Beauty College Inc,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
197,Shorter College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
198,Williams Baptist College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
199,South Arkansas Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
200,Southern Arkansas University Main Campus,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
201,Southern Arkansas University Tech,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
202,University of Arkansas System Office,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
203,Velvatex College of Beauty Culture,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
204,University of Arkansas-Fort Smith,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
205,Academy of Art University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
206,ITT Technical Institute-Rancho Cordova,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
207,Academy of Chinese Culture and Health Sciences,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
208,The Academy of Radio and TV Broadcasting,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
209,Avalon School of Cosmetology-Alameda,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
210,College of Alameda,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
211,Allan Hancock College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
212,American Academy of Dramatic Arts-Los Angeles,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
213,American Baptist Seminary of the West,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
214,American Film Institute Conservatory,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
215,American Beauty College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
216,American Career College-Los Angeles,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
217,American Conservatory Theater,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
218,American River College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
219,Everest College-Hayward,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
220,Antelope Valley College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
221,Art Center College of Design,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
222,Associated Technical College-Los Angeles,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
223,Associated Technical College-San Diego,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
224,Azusa Pacific University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
225,Bakersfield College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
226,Barstow Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
227,Bellus Academy-National City,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
228,Bethesda University of California,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
229,Biola University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
230,Brooks Institute,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
231,Brownson Technical School,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
232,Bryan University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
233,Butte College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
234,Phillips Graduate Institute,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
235,California Institute of Integral Studies,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
236,Cabrillo College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
237,California Baptist University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
238,California College of the Arts,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
239,University of California-Hastings College of Law,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
240,California Institute of Technology,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
241,California Lutheran University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
242,California Polytechnic State University-San Luis Obispo,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
243,Alliant International University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
244,California State University-Bakersfield,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
245,California State University-Stanislaus,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
246,California State University-Chancellors Office,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
247,California State University-San Bernardino,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
248,California State Polytechnic University-Pomona,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
249,California State University-Chico,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
250,California State University-Dominguez Hills,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
251,California State University-Fresno,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
252,California State University-Fullerton,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
253,California State University-East Bay,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
254,California State University-Long Beach,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
255,California State University-Los Angeles,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
256,California State University-Northridge,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
257,California State University-Sacramento,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
258,University of California-Berkeley,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
259,University of California-Davis,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
260,University of California-Irvine,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
261,University of California-Los Angeles,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
262,University of California-Riverside,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
263,University of California-San Diego,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
264,University of California-San Francisco,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
265,University of California-Santa Barbara,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
266,University of California-Santa Cruz,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
267,Sofia University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
268,California Beauty School,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
269,California Christian College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
270,California College San Diego,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
271,Le Cordon Bleu College of Culinary Arts-San Francisco,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
272,California Hair Design Academy,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
273,California Institute of the Arts,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
274,California Maritime Academy,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
275,California Western School of Law,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
276,Canada College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
277,College of the Canyons,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
